Time (s),ESC signal (?s),Servo 1 (?s),Servo 2 (?s),Servo 3 (?s),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (N/W),App message,Percent throtle,Thrust (gf),,Prop Diam (m),Mechanical Power(W),Motor & Power Efficiency(%)
1.5,1200,,,,0.695625032,16.35794685,1.995436566,12831,0,32.52201621,2.181107514,,52.17391304,70.93401233,,0.1524,4.8643497,0.149570976
4.5,1400,,,,1.522794581,16.21392846,5.146409089,18274,0,83.2934643,1.864273937,,60.86956522,155.2818323,,0.1524,15.75520181,0.189152918
7.5,1600,,,,2.451796786,16.00328229,9.497448216,22443,0,151.8353132,1.646611024,,69.56521739,250.0136934,,0.1524,32.18760726,0.211990258
10.5,1800,,,,3.691908135,15.6376303,17.16243786,27205,0,268.1332504,1.404040218,,78.26086957,376.4698582,,0.1524,59.47552927,0.22181333
13.5,2000,,,,4.104428805,15.4098797,20.3199729,28351,0,312.9463921,1.337402375,,86.95652174,418.5352597,,0.1524,69.71738304,0.222777398
16.5,2200,,,,3.934847414,15.33151097,19.70803667,27971,0,301.7133613,1.329880642,,95.65217391,401.2427704,,0.1524,65.44158815,0.216899868
19.5,2300,,,,3.9251118,15.27895345,19.37142174,27799,0,296.3318541,1.350681731,,100,400.250014,,0.1524,65.19886471,0.220019764
22.5,2200,,,,3.933254825,15.20139416,19.65447817,27921,0,298.5583643,1.343390149,,95.65217391,401.0803715,,0.1524,65.40186195,0.219058884
25.5,2000,,,,3.870356173,15.15233769,19.37280376,27654,0,293.4577039,1.344883727,,86.95652174,394.666494,,0.1524,63.83933968,0.217541877
28.5,1800,,,,3.410712202,15.23928166,15.99640627,26258,0,243.6019779,1.427721801,,78.26086957,347.795853,,0.1524,52.81163327,0.216794764
31.5,1600,,,,2.258474306,15.50056323,8.860851329,21740,0,137.0869637,1.67995758,,69.56521739,230.3002866,,0.1524,28.45671194,0.207581459
34.5,1400,,,,1.44060654,15.6921828,4.940002026,17847,0,77.38941371,1.898205197,,60.86956522,146.9009845,,0.1524,14.49706411,0.187326191
37.5,1200,,,,0.688233041,15.85442553,1.914644434,12627,0,30.234593,2.321190111,,52.17391304,70.18023902,,0.1524,4.787020247,0.158329244
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,222.4110694,,,,,,,
Full Throtle(ESC),2300,,,,,,,,,,190.1030359,,,,,,,
Minimum Throtle(ESC),1000,,,,,,,,,,167.9075958,,,,,,,
,,,,,,,,,,,143.1722574,,,,,,,
Propeller,6030R_GF,,,,,,,,,,136.3770885,,,,,,,
Battery,Zippy,4cell,16.6V,2200mah,30C,,,,,,135.6100852,,,,,,,
Motor,RS2205-2300KV,,,,,,,,,,137.731206,,,,,,,
ESC,Afro,30A,,,,,,,,,136.9876715,,,,,,,
,,,,,,,,,,,137.1399741,,,,,,,
,,,,,,,,,,,145.5871068,,,,,,,
,,,,,,,,,,,171.3079981,,,,,,,
,,,,,,,,,,,193.5630615,,,,,,,
,,,,,,,,,,,236.6955189,,,,,,,
